,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,income_missing,dependents_missing,has_delinquency_data_error,estimated_monthly_debt_payment,disposable_income_estimate,total_past_delinquencies
1,1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,0,0,0,7323.19701648,1796.8029835200005,2
2,0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,0,0,0,316.8781226,2283.1218774,0
3,0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,0,0,0,258.91488675,2783.08511325,2
4,0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,0,0,0,118.9639506,3181.0360494,0
5,0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,0,0,0,1584.97509366,62003.02490634,1
6,0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,0,0,0,1314.6243915,2185.3756085,0
7,0,0.305682465,57,0,5.0,5400.0,8,0,3,0,0.0,1,0,0,27000.0,-21600.0,0
8,0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,0,0,0,734.7900595,2765.2099405,0
9,0,0.116950644,27,0,5.0,5400.0,2,0,0,0,0.0,1,1,0,27000.0,-21600.0,0
10,0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,0,0,0,14359.393699284,9324.606300716,0
11,0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,0,0,0,773.690525,1726.309475,0
12,0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,0,0,0,3455.46846876,3045.53153124,0
13,0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,0,0,0,3715.70165005,8738.29834995,0
14,1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,0,0,0,5246.6170339,8453.3829661,7
15,0,0.019656581,76,0,5.0,0.0,6,0,1,0,0.0,0,0,0,0.0,0.0,0
16,0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0,0,0,0,2384.790108948,8977.209891052,0
17,0,0.061086118,78,0,5.0,5400.0,10,0,2,0,0.0,1,0,0,27000.0,-21600.0,0
18,0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,0,0,0,1656.811728,7143.188272,0
19,0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,0,0,0,1731.47211192,1548.52788808,0
20,0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,0,0,0,21.934131579,311.065868421,0
21,0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0,0,0,0,5289.5699574,7010.4300426,0
22,1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,0,0,0,1427.524158,1572.475842,0
23,0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,0,0,0,602.7588975,1897.2411025000001,0
24,0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,0,0,0,676.9144881240001,7239.085511876,0
25,0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,0,0,0,583.75837752,1832.24162248,0
26,1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,0,0,0,7459.404748768,-2783.404748768,0
27,0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,0,0,0,813.902325938,7519.097674062,0
28,0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,0,0,0,105.9576175,2394.0423825,0
29,0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0,0,0,0,39.9882398,3360.0117602,0
30,0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,0,0,0,2398.5638985,3101.4361015,2
31,0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,0,0,0,651.8448006000001,3548.1551994,1
32,0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,0,0,0,354.52729725,395.47270275,0
33,0,0.083418009,62,0,5.0,5400.0,6,0,1,0,0.0,1,0,0,27000.0,-21600.0,0
34,0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0,0,0,0,2196.6861910000002,4803.313808999999,0
35,0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0,0,0,0,574.7422685700001,1655.25773143,2
36,0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,0,0,0,808.926459,10191.073541,0
37,0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,0,0,0,2271.43214,1728.56786,3
38,0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,0,0,0,455.8659208,2944.1340792,1
39,0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,0,0,0,9.99001,990.00999,0
40,0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0,0,0,0,2829.191659,670.8083409999999,0
41,0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,0,0,0,3075.4604447999996,2624.5395552000004,1
42,0,0.07289757,81,0,5.0,5400.0,7,0,0,0,0.0,1,0,0,27000.0,-21600.0,0
43,0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,0,0,0,445.951787,8804.048213,0
